exp_id,total_elements,affected_elements,op_id,regen_ms,tvc_ms,validation_ms,rollback,simulation
b2.1,10000,1,sim_10000_1_0,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_1,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_2,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_3,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_4,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_5,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_6,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_7,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_8,1.05,1.47,0.42,False,True
b2.1,10000,1,sim_10000_1_9,1.05,1.47,0.42,False,True
b2.1,10000,10,sim_10000_10_0,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_1,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_2,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_3,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_4,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_5,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_6,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_7,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_8,2.35,3.29,0.94,False,True
b2.1,10000,10,sim_10000_10_9,2.35,3.29,0.94,False,True
b2.1,10000,100,sim_10000_100_0,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_1,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_2,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_3,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_4,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_5,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_6,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_7,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_8,5.26,7.37,2.1,False,True
b2.1,10000,100,sim_10000_100_9,5.26,7.37,2.1,False,True
b2.1,10000,1000,sim_10000_1000_0,11.78,16.49,4.71,False,True
b2.1,10000,1000,sim_10000_1000_1,11.78,16.49,4.71,False,True
b2.1,10000,1000,sim_10000_1000_2,11.78,16.49,4.71,False,True
b2.1,10000,1000,sim_10000_1000_3,11.78,16.49,4.71,False,True
b2.1,10000,1000,sim_10000_1000_4,11.78,16.49,4.71,False,True
b2.1,10000,1000,sim_10000_1000_5,11.78,16.49,4.71,False,True
b2.1,10000,1000,sim_10000_1000_6,11.78,16.49,4.71,False,True
b2.1,10000,1000,sim_10000_1000_7,11.78,16.49,4.71,False,True
b2.1,10000,1000,sim_10000_1000_8,11.78,16.49,4.71,False,True
b2.1,10000,1000,sim_10000_1000_9,11.78,16.49,4.71,False,True
b2.1,10000,5000,sim_10000_5000_0,20.69,28.97,8.28,False,True
b2.1,10000,5000,sim_10000_5000_1,20.69,28.97,8.28,False,True
b2.1,10000,5000,sim_10000_5000_2,20.69,28.97,8.28,False,True
b2.1,10000,5000,sim_10000_5000_3,20.69,28.97,8.28,False,True
b2.1,10000,5000,sim_10000_5000_4,20.69,28.97,8.28,False,True
b2.1,10000,5000,sim_10000_5000_5,20.69,28.97,8.28,False,True
b2.1,10000,5000,sim_10000_5000_6,20.69,28.97,8.28,False,True
b2.1,10000,5000,sim_10000_5000_7,20.69,28.97,8.28,False,True
b2.1,10000,5000,sim_10000_5000_8,20.69,28.97,8.28,False,True
b2.1,10000,5000,sim_10000_5000_9,20.69,28.97,8.28,False,True
b2.1,100000,1,sim_100000_1_0,1.5,2.1,0.6,False,True
b2.1,100000,1,sim_100000_1_1,1.5,2.1,0.6,False,True
b2.1,100000,1,sim_100000_1_2,1.5,2.1,0.6,False,True
b2.1,100000,1,sim_100000_1_3,1.5,2.1,0.6,False,True
b2.1,100000,1,sim_100000_1_4,1.5,2.1,0.6,False,True
b2.1,100000,1,sim_100000_1_5,1.5,2.1,0.6,False,True
b2.1,100000,1,sim_100000_1_6,1.5,2.1,0.6,False,True
b2.1,100000,1,sim_100000_1_7,1.5,2.1,0.6,False,True
b2.1,100000,1,sim_100000_1_8,1.5,2.1,0.6,False,True
b2.1,100000,1,sim_100000_1_9,1.5,2.1,0.6,False,True
b2.1,100000,10,sim_100000_10_0,3.36,4.7,1.34,False,True
b2.1,100000,10,sim_100000_10_1,3.36,4.7,1.34,False,True
b2.1,100000,10,sim_100000_10_2,3.36,4.7,1.34,False,True
b2.1,100000,10,sim_100000_10_3,3.36,4.7,1.34,False,True
b2.1,100000,10,sim_100000_10_4,3.36,4.7,1.34,False,True
b2.1,100000,10,sim_100000_10_5,3.36,4.7,1.34,False,True
b2.1,100000,10,sim_100000_10_6,3.36,4.7,1.34,False,True
b2.1,100000,10,sim_100000_10_7,3.36,4.7,1.34,False,True
b2.1,100000,10,sim_100000_10_8,3.36,4.7,1.34,False,True
b2.1,100000,10,sim_100000_10_9,3.36,4.7,1.34,False,True
b2.1,100000,100,sim_100000_100_0,7.52,10.52,3.01,False,True
b2.1,100000,100,sim_100000_100_1,7.52,10.52,3.01,False,True
b2.1,100000,100,sim_100000_100_2,7.52,10.52,3.01,False,True
b2.1,100000,100,sim_100000_100_3,7.52,10.52,3.01,False,True
b2.1,100000,100,sim_100000_100_4,7.52,10.52,3.01,False,True
b2.1,100000,100,sim_100000_100_5,7.52,10.52,3.01,False,True
b2.1,100000,100,sim_100000_100_6,7.52,10.52,3.01,False,True
b2.1,100000,100,sim_100000_100_7,7.52,10.52,3.01,False,True
b2.1,100000,100,sim_100000_100_8,7.52,10.52,3.01,False,True
b2.1,100000,100,sim_100000_100_9,7.52,10.52,3.01,False,True
b2.1,100000,1000,sim_100000_1000_0,16.83,23.56,6.73,False,True
b2.1,100000,1000,sim_100000_1000_1,16.83,23.56,6.73,False,True
b2.1,100000,1000,sim_100000_1000_2,16.83,23.56,6.73,False,True
