exp_id,scenario,concurrency,edit_rate,offline_duration,p50_latency_ms,p95_latency_ms,conflict_rate,override_rate,rollback_rate,simulation
b2.2,disjoint_edits,1,10,0,53.724117162171126,62.01983725098863,0.0015,0.001,0.001,True
b2.2,disjoint_edits,3,10,0,66.10507177443831,78.11080827204049,0.0025,0.001,0.001,True
b2.2,disjoint_edits,10,10,0,102.48213449328415,114.21849981343465,0.006,0.001,0.003,True
b2.2,disjoint_edits,20,10,0,152.4370304097215,169.53100924483846,0.011,0.001,0.006,True
b2.2,disjoint_edits,1,10,3600,57.29734794523969,66.95731440332163,0.0015,0.001,0.001,True
b2.2,disjoint_edits,3,10,3600,69.00352190534677,75.15064936192444,0.0025,0.001,0.001,True
b2.2,disjoint_edits,10,10,3600,100.02755750481307,122.40943703775568,0.006,0.001,0.003,True
b2.2,disjoint_edits,20,10,3600,151.1129547997024,169.031528866625,0.011,0.001,0.006,True
b2.2,disjoint_edits,1,10,21600,55.970502818098964,61.478936227652525,0.0015,0.001,0.001,True
b2.2,disjoint_edits,3,10,21600,69.59438203864755,82.6201610489885,0.0025,0.001,0.001,True
b2.2,disjoint_edits,10,10,21600,98.4035391970231,115.70100977572531,0.006,0.001,0.003,True
b2.2,disjoint_edits,20,10,21600,150.10390211327115,164.50809544896754,0.011,0.001,0.006,True
b2.2,disjoint_edits,1,10,86400,55.68832325602783,63.6400727202079,0.0015,0.001,0.001,True
b2.2,disjoint_edits,3,10,86400,64.99462485808591,77.35980776313953,0.0025,0.001,0.001,True
b2.2,disjoint_edits,10,10,86400,97.7129794479802,119.80165265557265,0.006,0.001,0.003,True
b2.2,disjoint_edits,20,10,86400,149.80815880463857,163.70403004591185,0.011,0.001,0.006,True
b2.2,disjoint_edits,1,30,0,56.81967258568661,65.941517518659,0.0015,0.001,0.001,True
b2.2,disjoint_edits,3,30,0,58.10242348466155,80.5620037499693,0.0025,0.001,0.001,True
b2.2,disjoint_edits,10,30,0,98.76200038772936,121.47024492807562,0.006,0.001,0.003,True
b2.2,disjoint_edits,20,30,0,147.21736446499426,168.58753656760396,0.011,0.001,0.006,True
b2.2,disjoint_edits,1,30,3600,60.88647904010331,85.35714298111556,0.0015,0.001,0.001,True
