exp_id,agent_ops,bulk_threshold,permission_profile,approval_latency_ms,tvc_ms,rollback,rollback_reason,constraint_violation,override,validation_issue_severity,simulation,live
b2.3,10,50,narrow,0,0.426,False,,False,False,,False,True
b2.3,10,50,narrow,0,0.426,False,,False,False,,False,True
b2.3,10,50,narrow,0,0.426,False,,False,False,,False,True
b2.3,10,50,narrow,0,0.426,False,,False,False,,False,True
b2.3,10,50,narrow,0,0.426,False,,False,False,,False,True
b2.3,10,50,narrow,0,0.426,False,,False,False,,False,True
b2.3,10,50,narrow,0,0.426,False,,False,False,,False,True
b2.3,10,50,narrow,0,0.426,False,,False,False,,False,True
b2.3,10,50,narrow,0,0.426,False,,False,False,,False,True
b2.3,10,50,narrow,0,0.426,False,,False,False,,False,True
b2.3,10,50,narrow,2000,0.317,False,,False,False,,False,True
b2.3,10,50,narrow,2000,0.317,False,,False,False,,False,True
b2.3,10,50,narrow,2000,0.317,False,,False,False,,False,True
b2.3,10,50,narrow,2000,0.317,False,,False,False,,False,True
b2.3,10,50,narrow,2000,0.317,False,,False,False,,False,True
b2.3,10,50,narrow,2000,0.317,False,,False,False,,False,True
b2.3,10,50,narrow,2000,0.317,False,,False,False,,False,True
b2.3,10,50,narrow,2000,0.317,False,,False,False,,False,True
b2.3,10,50,narrow,2000,0.317,False,,False,False,,False,True
b2.3,10,50,narrow,2000,0.317,False,,False,False,,False,True
b2.3,100,50,narrow,0,2.982,False,,False,False,,False,True
b2.3,100,50,narrow,0,2.982,False,,False,False,,False,True
b2.3,100,50,narrow,0,2.982,False,,False,False,,False,True
b2.3,100,50,narrow,0,2.982,False,,False,False,,False,True
b2.3,100,50,narrow,0,2.982,False,,False,False,,False,True
b2.3,100,50,narrow,0,2.982,False,,False,False,,False,True
b2.3,100,50,narrow,0,2.982,False,,False,False,,False,True
b2.3,100,50,narrow,0,2.982,False,,False,False,,False,True
b2.3,100,50,narrow,0,2.982,False,,False,False,,False,True
b2.3,100,50,narrow,0,2.982,False,,False,False,,False,True
b2.3,100,50,narrow,0,2.982,False,,False,False,,False,True
