exp_id,total_elements,affected_elements,op_id,regen_ms,tvc_ms,validation_ms,rollback,simulation,live
b2.1,10000,1,live_10000_1_0,0.001,0.09,0,False,False,True
b2.1,10000,1,live_10000_1_1,0.001,0.093,0,False,False,True
b2.1,10000,1,live_10000_1_2,0.001,0.086,0,False,False,True
b2.1,10000,1,live_10000_1_3,0.002,0.086,0,False,False,True
b2.1,10000,1,live_10000_1_4,0.001,0.118,0,False,False,True
b2.1,10000,1,live_10000_1_5,0.001,0.081,0,False,False,True
b2.1,10000,1,live_10000_1_6,0.001,0.067,0,False,False,True
b2.1,10000,1,live_10000_1_7,0.001,0.084,0,False,False,True
b2.1,10000,1,live_10000_1_8,0.002,0.151,0,False,False,True
b2.1,10000,1,live_10000_1_9,0.001,0.077,0,False,False,True
b2.1,10000,10,live_10000_10_0,0.004,0.186,0,False,False,True
b2.1,10000,10,live_10000_10_1,0.002,0.119,0,False,False,True
b2.1,10000,10,live_10000_10_2,0.002,0.086,0,False,False,True
b2.1,10000,10,live_10000_10_3,0.002,0.082,0,False,False,True
b2.1,10000,10,live_10000_10_4,0.002,0.075,0,False,False,True
b2.1,10000,10,live_10000_10_5,0.002,0.072,0,False,False,True
b2.1,10000,10,live_10000_10_6,0.001,0.071,0,False,False,True
b2.1,10000,10,live_10000_10_7,0.002,0.086,0,False,False,True
b2.1,10000,10,live_10000_10_8,0.004,0.093,0,False,False,True
b2.1,10000,10,live_10000_10_9,0.002,0.106,0,False,False,True
b2.1,10000,100,live_10000_100_0,0.007,0.067,0,False,False,True
b2.1,10000,100,live_10000_100_1,0.008,0.079,0,False,False,True
b2.1,10000,100,live_10000_100_2,0.009,0.14,0,False,False,True
b2.1,10000,100,live_10000_100_3,0.007,0.074,0,False,False,True
b2.1,10000,100,live_10000_100_4,0.008,0.074,0,False,False,True
b2.1,10000,100,live_10000_100_5,0.008,0.072,0,False,False,True
b2.1,10000,100,live_10000_100_6,0.007,0.09,0,False,False,True
b2.1,10000,100,live_10000_100_7,0.01,0.076,0,False,False,True
b2.1,10000,100,live_10000_100_8,0.009,0.614,0,False,False,True
