exp_id,scenario,concurrency,edit_rate,offline_duration,p50_latency_ms,p95_latency_ms,conflict_rate,override_rate,rollback_rate,simulation,live
b2.2,disjoint_edits,1,10,0,0.026,0.092,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,0,0.024,0.09,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,0,0.029,0.285,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,20,10,0,0.024,0.239,0.01,0.01,0.0,False,True
b2.2,disjoint_edits,1,10,3600,0.026,0.087,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,3600,0.026,0.089,0.06666666666666667,0.0667,0.0,False,True
b2.2,disjoint_edits,10,10,3600,0.023,0.087,0.04,0.04,0.0,False,True
b2.2,disjoint_edits,20,10,3600,0.023,0.889,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,1,10,21600,0.033,0.089,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,10,21600,0.025,0.16,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,21600,0.024,0.196,0.04,0.04,0.0,False,True
b2.2,disjoint_edits,20,10,21600,0.023,0.113,0.01,0.01,0.0,False,True
b2.2,disjoint_edits,1,10,86400,0.025,0.109,0.2,0.2,0.0,False,True
b2.2,disjoint_edits,3,10,86400,0.026,0.194,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,10,86400,0.024,0.151,0.02,0.02,0.0,False,True
b2.2,disjoint_edits,20,10,86400,0.023,0.252,0.03,0.03,0.0,False,True
b2.2,disjoint_edits,1,30,0,0.025,0.224,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,0,0.045,0.38,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,10,30,0,0.023,0.094,0.08,0.0267,0.0,False,True
b2.2,disjoint_edits,20,30,0,0.023,0.087,0.12,0.04,0.0,False,True
b2.2,disjoint_edits,1,30,3600,0.058,0.106,0.2,0.0667,0.0,False,True
b2.2,disjoint_edits,3,30,3600,0.024,0.264,0.06666666666666667,0.0222,0.0,False,True
b2.2,disjoint_edits,10,30,3600,0.025,0.091,0.06,0.02,0.0,False,True
b2.2,disjoint_edits,20,30,3600,0.023,0.105,0.12,0.04,0.0,False,True
b2.2,disjoint_edits,1,30,21600,0.03,0.081,0.4,0.1333,0.0,False,True
b2.2,disjoint_edits,3,30,21600,0.023,0.611,0.06666666666666667,0.0222,0.0,False,True
b2.2,disjoint_edits,10,30,21600,0.023,0.113,0.02,0.0067,0.0,False,True
b2.2,disjoint_edits,20,30,21600,0.022,0.082,0.09,0.03,0.0,False,True
b2.2,disjoint_edits,1,30,86400,0.027,0.128,0.0,0.0,0.0,False,True
b2.2,disjoint_edits,3,30,86400,0.022,0.091,0.13333333333333333,0.0444,0.0,False,True
b2.2,disjoint_edits,10,30,86400,0.023,0.09,0.12,0.04,0.0,False,True
b2.2,disjoint_edits,20,30,86400,0.023,0.095,0.11,0.0367,0.0,False,True
b2.2,same_wall_edits,1,10,0,0.027,0.108,0.2,0.2,0.0,False,True
b2.2,same_wall_edits,3,10,0,0.031,0.144,0.13333333333333333,0.1333,0.0,False,True
b2.2,same_wall_edits,10,10,0,0.023,0.089,0.18,0.18,0.0,False,True
b2.2,same_wall_edits,20,10,0,0.025,0.097,0.09,0.09,0.0,False,True
b2.2,same_wall_edits,1,10,3600,0.062,0.099,0.2,0.2,0.0,False,True
b2.2,same_wall_edits,3,10,3600,0.025,0.14,0.06666666666666667,0.0667,0.0,False,True
b2.2,same_wall_edits,10,10,3600,0.023,1.025,0.1,0.1,0.0,False,True
b2.2,same_wall_edits,20,10,3600,0.027,0.3,0.1,0.1,0.0,False,True
b2.2,same_wall_edits,1,10,21600,0.024,0.09,0.2,0.2,0.0,False,True
b2.2,same_wall_edits,3,10,21600,0.025,0.123,0.13333333333333333,0.1333,0.0,False,True
b2.2,same_wall_edits,10,10,21600,0.025,0.999,0.06,0.06,0.0,False,True
b2.2,same_wall_edits,20,10,21600,0.023,0.112,0.12,0.12,0.0,False,True
b2.2,same_wall_edits,1,10,86400,0.027,0.083,0.0,0.0,0.0,False,True
b2.2,same_wall_edits,3,10,86400,0.031,0.085,0.2,0.2,0.0,False,True
b2.2,same_wall_edits,10,10,86400,0.025,0.159,0.24,0.24,0.0,False,True
b2.2,same_wall_edits,20,10,86400,0.023,0.151,0.19,0.19,0.0,False,True
b2.2,same_wall_edits,1,30,0,0.023,0.097,0.4,0.1333,0.0,False,True
b2.2,same_wall_edits,3,30,0,0.023,0.088,0.5333333333333333,0.1778,0.0,False,True
b2.2,same_wall_edits,10,30,0,0.026,0.203,0.58,0.1933,0.0,False,True
b2.2,same_wall_edits,20,30,0,0.023,0.085,0.47,0.1567,0.0,False,True
b2.2,same_wall_edits,1,30,3600,0.064,0.12,0.8,0.2667,0.0,False,True
b2.2,same_wall_edits,3,30,3600,0.023,0.245,0.4,0.1333,0.0,False,True
b2.2,same_wall_edits,10,30,3600,0.024,0.174,0.4,0.1333,0.0,False,True
b2.2,same_wall_edits,20,30,3600,0.023,0.086,0.42,0.14,0.0,False,True
b2.2,same_wall_edits,1,30,21600,0.026,0.087,0.6,0.2,0.0,False,True
b2.2,same_wall_edits,3,30,21600,0.023,0.086,0.6,0.2,0.0,False,True
b2.2,same_wall_edits,10,30,21600,0.023,0.112,0.48,0.16,0.0,False,True
b2.2,same_wall_edits,20,30,21600,0.023,0.091,0.51,0.17,0.0,False,True
b2.2,same_wall_edits,1,30,86400,0.024,0.091,0.2,0.0667,0.0,False,True
b2.2,same_wall_edits,3,30,86400,0.034,0.18,0.4666666666666667,0.1556,0.0,False,True
b2.2,same_wall_edits,10,30,86400,0.023,0.102,0.52,0.1733,0.0,False,True
b2.2,same_wall_edits,20,30,86400,0.023,0.064,0.42,0.14,0.0,False,True
b2.2,host_collision,1,10,0,0.024,0.089,0.2,0.2,0.0,False,True
b2.2,host_collision,3,10,0,0.033,0.102,0.2,0.2,0.0,False,True
b2.2,host_collision,10,10,0,0.023,0.25,0.26,0.26,0.0,False,True
b2.2,host_collision,20,10,0,0.023,0.239,0.29,0.29,0.0,False,True
b2.2,host_collision,1,10,3600,0.033,0.084,0.2,0.2,0.0,False,True
b2.2,host_collision,3,10,3600,0.029,0.101,0.2,0.2,0.0,False,True
b2.2,host_collision,10,10,3600,0.024,0.248,0.18,0.18,0.0,False,True
b2.2,host_collision,20,10,3600,0.024,0.148,0.23,0.23,0.0,False,True
b2.2,host_collision,1,10,21600,0.034,0.123,0.4,0.4,0.0,False,True
b2.2,host_collision,3,10,21600,0.028,0.106,0.2,0.2,0.0,False,True
b2.2,host_collision,10,10,21600,0.024,0.11,0.22,0.22,0.0,False,True
b2.2,host_collision,20,10,21600,0.024,0.16,0.28,0.28,0.0,False,True
b2.2,host_collision,1,10,86400,0.036,0.103,0.6,0.6,0.0,False,True
b2.2,host_collision,3,10,86400,0.024,0.126,0.13333333333333333,0.1333,0.0,False,True
b2.2,host_collision,10,10,86400,0.024,0.186,0.18,0.18,0.0,False,True
b2.2,host_collision,20,10,86400,0.026,0.599,0.28,0.28,0.0,False,True
b2.2,host_collision,1,30,0,0.029,0.161,1.0,0.3333,0.0,False,True
b2.2,host_collision,3,30,0,0.051,0.392,0.6,0.2,0.0,False,True
b2.2,host_collision,10,30,0,0.025,0.118,0.82,0.2733,0.0,False,True
b2.2,host_collision,20,30,0,0.033,0.117,0.79,0.2633,0.0,False,True
b2.2,host_collision,1,30,3600,0.023,0.092,1.0,0.3333,0.0,False,True
b2.2,host_collision,3,30,3600,0.036,0.111,1.2,0.4,0.0,False,True
b2.2,host_collision,10,30,3600,0.023,0.109,0.74,0.2467,0.0,False,True
b2.2,host_collision,20,30,3600,0.023,0.107,0.84,0.28,0.0,False,True
b2.2,host_collision,1,30,21600,0.026,0.091,0.8,0.2667,0.0,False,True
b2.2,host_collision,3,30,21600,0.023,0.089,0.6,0.2,0.0,False,True
b2.2,host_collision,10,30,21600,0.023,0.104,0.84,0.28,0.0,False,True
b2.2,host_collision,20,30,21600,0.045,0.564,0.63,0.21,0.0,False,True
b2.2,host_collision,1,30,86400,0.024,0.09,1.4,0.4667,0.0,False,True
b2.2,host_collision,3,30,86400,0.024,0.929,0.7333333333333333,0.2444,0.0,False,True
b2.2,host_collision,10,30,86400,0.023,0.098,0.84,0.28,0.0,False,True
b2.2,host_collision,20,30,86400,0.023,0.101,0.81,0.27,0.0,False,True
